cluster,memberCount
IfStatement-4-13,5
ReturnStatement-2-9,5
IfStatement-4-12,5
IfStatement-8-19,5
ExpressionStatement-4-27,5
ExpressionStatement-8-64,5
ExpressionStatement-8-55,5
IfStatement-15-2,5
ReturnStatement-5-18,5
IfStatement-4-9,5
ExpressionStatement-4-32,5
ReturnStatement-2-10,5
IfStatement-6-39,5
ReturnStatement-5-16,5
EnhancedForStatement-4-1,5
IfStatement-14-5,5
ExpressionStatement-13-11,5
IfStatement-7-10,5
IfStatement-7-28,5
MethodDeclaration-9-8,5
ExpressionStatement-10-19,5
EnhancedForStatement-10-0,5
ExpressionStatement-10-28,5
ExpressionStatement-5-56,5
IfStatement-11-3,5
IfStatement-14-3,5
IfStatement-11-7,5
IfStatement-11-18,5
ExpressionStatement-5-43,5
ExpressionStatement-5-53,5
IfStatement-9-11,5
IfStatement-9-9,5
MethodDeclaration-27-2,5
ExpressionStatement-6-47,5
ExpressionStatement-5-46,5
IfStatement-7-3,5
ExpressionStatement-10-5,5
IfStatement-10-30,5
IfStatement-6-24,5
ExpressionStatement-8-11,5
IfStatement-10-17,5
IfStatement-10-6,5
IfStatement-13-6,5
IfStatement-13-5,5
MethodDeclaration-7-3,5
ExpressionStatement-6-37,5
MethodDeclaration-7-8,5
ReturnStatement-5-4,5
ExpressionStatement-12-7,5
ExpressionStatement-12-5,5
IfStatement-5-10,5
IfStatement-5-19,5
IfStatement-6-36,5
IfStatement-6-26,5
IfStatement-6-10,5
IfStatement-6-29,5
ExpressionStatement-8-59,5
IfStatement-5-14,5
IfStatement-5-22,5
ReturnStatement-12-0,5
IfStatement-7-6,5
ReturnStatement-3-22,5
ThrowStatement-4-6,5
FieldDeclaration-15-0,5
VariableDeclarationStatement-6-27,5
VariableDeclarationStatement-6-9,5
VariableDeclarationStatement-6-16,5
CatchClause-9-1,5
VariableDeclarationStatement-6-28,5
MethodDeclaration-4-3,5
FieldDeclaration-4-6,5
FieldDeclaration-9-1,5
VariableDeclarationStatement-5-40,5
VariableDeclarationStatement-6-13,5
MethodDeclaration-15-1,5
VariableDeclarationStatement-6-25,5
FieldDeclaration-4-9,5
VariableDeclarationStatement-10-35,5
MethodDeclaration-8-14,5
ThrowStatement-8-0,5
ExpressionStatement-9-18,5
ThrowStatement-10-1,5
ExpressionStatement-6-27,5
FieldDeclaration-12-8,5
AssertStatement-2-0,5
VariableDeclarationStatement-7-51,5
FieldDeclaration-12-1,5
AssertStatement-5-0,5
ExpressionStatement-9-13,5
MethodDeclaration-8-11,5
VariableDeclarationStatement-7-27,5
MethodDeclaration-8-1,5
VariableDeclarationStatement-7-65,5
TypeDeclaration-5-1,5
ExpressionStatement-9-23,5
VariableDeclarationStatement-7-46,5
TypeDeclaration-3-3,5
ExpressionStatement-9-27,5
VariableDeclarationStatement-10-18,5
ExpressionStatement-6-9,5
FieldDeclaration-6-11,5
MethodDeclaration-13-7,5
ExpressionStatement-7-64,5
MethodDeclaration-13-3,5
ExpressionStatement-7-23,5
ExpressionStatement-7-46,5
ExpressionStatement-7-77,5
MethodDeclaration-5-8,5
MethodDeclaration-5-11,5
VariableDeclarationStatement-4-18,5
VariableDeclarationStatement-8-22,5
VariableDeclarationStatement-8-14,5
VariableDeclarationStatement-8-40,5
VariableDeclarationStatement-8-15,5
VariableDeclarationStatement-8-12,5
FieldDeclaration-6-13,5
VariableDeclarationStatement-8-42,5
VariableDeclarationStatement-8-20,5
VariableDeclarationStatement-5-17,5
ExpressionStatement-7-85,5
FieldDeclaration-11-4,5
MethodDeclaration-15-5,5
VariableDeclarationStatement-10-30,5
FieldDeclaration-8-8,5
MethodDeclaration-3-6,5
MethodDeclaration-3-10,5
MethodDeclaration-3-5,5
ExpressionStatement-7-96,5
FieldDeclaration-8-7,5
VariableDeclarationStatement-13-1,5
MethodDeclaration-22-3,5
FieldDeclaration-19-0,5
ExpressionStatement-7-37,5
FieldDeclaration-10-2,5
MethodDeclaration-14-4,5
ExpressionStatement-7-16,5
VariableDeclarationStatement-6-20,5
FieldDeclaration-5-4,5
VariableDeclarationStatement-11-9,5
ReturnStatement-6-8,5
MethodDeclaration-10-3,5
VariableDeclarationStatement-9-9,5
TryStatement-8-0,5
TryStatement-4-0,5
VariableDeclarationStatement-9-2,5
ExpressionStatement-6-44,5
FieldDeclaration-5-13,5
VariableDeclarationStatement-9-8,5
FieldDeclaration-5-12,5
ReturnStatement-4-16,5
ReturnStatement-4-11,5
MethodDeclaration-17-2,5
ReturnStatement-4-9,5
TryStatement-12-0,5
VariableDeclarationStatement-9-30,5
MethodDeclaration-6-5,5
TryStatement-10-2,5
ExpressionStatement-6-42,5
VariableDeclarationStatement-11-10,5
VariableDeclarationStatement-11-19,5
FieldDeclaration-13-4,5
ReturnStatement-6-1,5
ReturnStatement-3-12,5
VariableDeclarationStatement-11-15,5
IfStatement-3-16,4
ForStatement-27-0,4
IfStatement-5-26,4
ExpressionStatement-7-53,4
VariableDeclarationStatement-19-2,4
VariableDeclarationStatement-18-0,4
ExpressionStatement-8-50,4
IfStatement-15-4,4
VariableDeclarationStatement-9-10,4
VariableDeclarationStatement-9-17,4
VariableDeclarationStatement-9-28,4
ExpressionStatement-8-66,4
IfStatement-6-38,4
ExpressionStatement-11-2,4
ExpressionStatement-13-1,4
ExpressionStatement-7-65,4
IfStatement-53-0,4
ExpressionStatement-9-51,4
ExpressionStatement-9-69,4
ExpressionStatement-12-9,4
ForStatement-22-1,4
FieldDeclaration-5-15,4
IfStatement-37-0,4
MethodDeclaration-14-10,4
FieldDeclaration-8-10,4
ExpressionStatement-11-31,4
ExpressionStatement-7-62,4
ExpressionStatement-13-4,4
FieldDeclaration-8-16,4
VariableDeclarationStatement-10-15,4
VariableDeclarationStatement-8-51,4
IfStatement-6-51,4
